MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10304661203,000000000022156102,0.324,Active Import Interval (kW),28-03-2025 09:30
10304661203,000000000022156102,1.632,Active Import Interval (kW),28-03-2025 09:00
10304661203,000000000022156102,0.372,Active Import Interval (kW),28-03-2025 08:30
10304661203,000000000022156102,0.430,Active Import Interval (kW),28-03-2025 08:00
10304661203,000000000022156102,1.676,Active Import Interval (kW),28-03-2025 07:30
10304661203,000000000022156102,0.388,Active Import Interval (kW),28-03-2025 07:00
10304661203,000000000022156102,0.388,Active Import Interval (kW),28-03-2025 06:30
10304661203,000000000022156102,0.390,Active Import Interval (kW),28-03-2025 06:00
10304661203,000000000022156102,0.392,Active Import Interval (kW),28-03-2025 05:30
10304661203,000000000022156102,0.382,Active Import Interval (kW),28-03-2025 05:00
10304661203,000000000022156102,0.562,Active Import Interval (kW),28-03-2025 04:30
10304661203,000000000022156102,0.650,Active Import Interval (kW),28-03-2025 04:00
10304661203,000000000022156102,0.662,Active Import Interval (kW),28-03-2025 03:30
10304661203,000000000022156102,1.502,Active Import Interval (kW),28-03-2025 03:00
10304661203,000000000022156102,0.878,Active Import Interval (kW),28-03-2025 02:30
10304661203,000000000022156102,0.542,Active Import Interval (kW),28-03-2025 02:00
10304661203,000000000022156102,0.590,Active Import Interval (kW),28-03-2025 01:30
10304661203,000000000022156102,0.754,Active Import Interval (kW),28-03-2025 01:00
10304661203,000000000022156102,0.908,Active Import Interval (kW),28-03-2025 00:30
10304661203,000000000022156102,0.768,Active Import Interval (kW),28-03-2025 00:00
10304661203,000000000022156102,0.994,Active Import Interval (kW),27-03-2025 23:30
10304661203,000000000022156102,1.262,Active Import Interval (kW),27-03-2025 23:00
10304661203,000000000022156102,0.854,Active Import Interval (kW),27-03-2025 22:30
10304661203,000000000022156102,2.076,Active Import Interval (kW),27-03-2025 22:00
10304661203,000000000022156102,0.950,Active Import Interval (kW),27-03-2025 21:30
10304661203,000000000022156102,1.542,Active Import Interval (kW),27-03-2025 21:00
10304661203,000000000022156102,1.068,Active Import Interval (kW),27-03-2025 20:30
10304661203,000000000022156102,0.772,Active Import Interval (kW),27-03-2025 20:00
10304661203,000000000022156102,1.012,Active Import Interval (kW),27-03-2025 19:30
10304661203,000000000022156102,2.590,Active Import Interval (kW),27-03-2025 19:00
10304661203,000000000022156102,1.620,Active Import Interval (kW),27-03-2025 18:30
10304661203,000000000022156102,0.380,Active Import Interval (kW),27-03-2025 18:00
10304661203,000000000022156102,0.276,Active Import Interval (kW),27-03-2025 17:30
10304661203,000000000022156102,0.264,Active Import Interval (kW),27-03-2025 17:00
10304661203,000000000022156102,0.312,Active Import Interval (kW),27-03-2025 16:30
10304661203,000000000022156102,2.514,Active Import Interval (kW),27-03-2025 16:00
10304661203,000000000022156102,2.152,Active Import Interval (kW),27-03-2025 15:30
10304661203,000000000022156102,0.372,Active Import Interval (kW),27-03-2025 15:00
10304661203,000000000022156102,1.658,Active Import Interval (kW),27-03-2025 14:30
10304661203,000000000022156102,0.530,Active Import Interval (kW),27-03-2025 14:00
10304661203,000000000022156102,0.954,Active Import Interval (kW),27-03-2025 13:30
10304661203,000000000022156102,0.580,Active Import Interval (kW),27-03-2025 13:00
10304661203,000000000022156102,0.400,Active Import Interval (kW),27-03-2025 12:30
10304661203,000000000022156102,0.422,Active Import Interval (kW),27-03-2025 12:00
10304661203,000000000022156102,0.450,Active Import Interval (kW),27-03-2025 11:30
10304661203,000000000022156102,2.112,Active Import Interval (kW),27-03-2025 11:00
10304661203,000000000022156102,0.436,Active Import Interval (kW),27-03-2025 10:30
10304661203,000000000022156102,0.562,Active Import Interval (kW),27-03-2025 10:00
10304661203,000000000022156102,0.514,Active Import Interval (kW),27-03-2025 09:30
10304661203,000000000022156102,1.112,Active Import Interval (kW),27-03-2025 09:00
10304661203,000000000022156102,1.238,Active Import Interval (kW),27-03-2025 08:30
10304661203,000000000022156102,3.008,Active Import Interval (kW),27-03-2025 08:00
10304661203,000000000022156102,0.312,Active Import Interval (kW),27-03-2025 07:30
10304661203,000000000022156102,0.292,Active Import Interval (kW),27-03-2025 07:00
10304661203,000000000022156102,0.318,Active Import Interval (kW),27-03-2025 06:30
10304661203,000000000022156102,0.300,Active Import Interval (kW),27-03-2025 06:00
10304661203,000000000022156102,0.310,Active Import Interval (kW),27-03-2025 05:30
10304661203,000000000022156102,0.304,Active Import Interval (kW),27-03-2025 05:00
10304661203,000000000022156102,0.520,Active Import Interval (kW),27-03-2025 04:30
10304661203,000000000022156102,1.128,Active Import Interval (kW),27-03-2025 04:00
10304661203,000000000022156102,1.158,Active Import Interval (kW),27-03-2025 03:30
10304661203,000000000022156102,0.612,Active Import Interval (kW),27-03-2025 03:00
10304661203,000000000022156102,0.448,Active Import Interval (kW),27-03-2025 02:30
10304661203,000000000022156102,1.232,Active Import Interval (kW),27-03-2025 02:00
10304661203,000000000022156102,0.910,Active Import Interval (kW),27-03-2025 01:30
10304661203,000000000022156102,1.304,Active Import Interval (kW),27-03-2025 01:00
10304661203,000000000022156102,1.634,Active Import Interval (kW),27-03-2025 00:30
10304661203,000000000022156102,1.598,Active Import Interval (kW),27-03-2025 00:00
10304661203,000000000022156102,1.130,Active Import Interval (kW),26-03-2025 23:30
10304661203,000000000022156102,1.036,Active Import Interval (kW),26-03-2025 23:00
10304661203,000000000022156102,0.900,Active Import Interval (kW),26-03-2025 22:30
10304661203,000000000022156102,0.836,Active Import Interval (kW),26-03-2025 22:00
10304661203,000000000022156102,1.990,Active Import Interval (kW),26-03-2025 21:30
10304661203,000000000022156102,1.816,Active Import Interval (kW),26-03-2025 21:00
10304661203,000000000022156102,0.774,Active Import Interval (kW),26-03-2025 20:30
10304661203,000000000022156102,0.884,Active Import Interval (kW),26-03-2025 20:00
10304661203,000000000022156102,0.988,Active Import Interval (kW),26-03-2025 19:30
10304661203,000000000022156102,1.098,Active Import Interval (kW),26-03-2025 19:00
10304661203,000000000022156102,1.240,Active Import Interval (kW),26-03-2025 18:30
10304661203,000000000022156102,0.958,Active Import Interval (kW),26-03-2025 18:00
10304661203,000000000022156102,0.764,Active Import Interval (kW),26-03-2025 17:30
10304661203,000000000022156102,0.624,Active Import Interval (kW),26-03-2025 17:00
10304661203,000000000022156102,1.882,Active Import Interval (kW),26-03-2025 16:30
10304661203,000000000022156102,0.630,Active Import Interval (kW),26-03-2025 16:00
10304661203,000000000022156102,0.680,Active Import Interval (kW),26-03-2025 15:30
10304661203,000000000022156102,1.346,Active Import Interval (kW),26-03-2025 15:00
10304661203,000000000022156102,2.010,Active Import Interval (kW),26-03-2025 14:30
10304661203,000000000022156102,0.590,Active Import Interval (kW),26-03-2025 14:00
10304661203,000000000022156102,1.236,Active Import Interval (kW),26-03-2025 13:30
10304661203,000000000022156102,1.566,Active Import Interval (kW),26-03-2025 13:00
10304661203,000000000022156102,2.852,Active Import Interval (kW),26-03-2025 12:30
10304661203,000000000022156102,1.824,Active Import Interval (kW),26-03-2025 12:00
10304661203,000000000022156102,2.060,Active Import Interval (kW),26-03-2025 11:30
10304661203,000000000022156102,1.676,Active Import Interval (kW),26-03-2025 11:00
10304661203,000000000022156102,1.328,Active Import Interval (kW),26-03-2025 10:30
10304661203,000000000022156102,0.890,Active Import Interval (kW),26-03-2025 10:00
10304661203,000000000022156102,1.774,Active Import Interval (kW),26-03-2025 09:30
10304661203,000000000022156102,0.964,Active Import Interval (kW),26-03-2025 09:00
10304661203,000000000022156102,0.284,Active Import Interval (kW),26-03-2025 08:30
10304661203,000000000022156102,0.568,Active Import Interval (kW),26-03-2025 08:00
10304661203,000000000022156102,0.268,Active Import Interval (kW),26-03-2025 07:30
10304661203,000000000022156102,1.442,Active Import Interval (kW),26-03-2025 07:00
10304661203,000000000022156102,0.338,Active Import Interval (kW),26-03-2025 06:30
10304661203,000000000022156102,0.268,Active Import Interval (kW),26-03-2025 06:00
10304661203,000000000022156102,0.276,Active Import Interval (kW),26-03-2025 05:30
10304661203,000000000022156102,0.286,Active Import Interval (kW),26-03-2025 05:00
10304661203,000000000022156102,0.440,Active Import Interval (kW),26-03-2025 04:30
10304661203,000000000022156102,0.456,Active Import Interval (kW),26-03-2025 04:00
10304661203,000000000022156102,0.578,Active Import Interval (kW),26-03-2025 03:30
10304661203,000000000022156102,0.442,Active Import Interval (kW),26-03-2025 03:00
10304661203,000000000022156102,0.440,Active Import Interval (kW),26-03-2025 02:30
10304661203,000000000022156102,1.398,Active Import Interval (kW),26-03-2025 02:00
10304661203,000000000022156102,0.870,Active Import Interval (kW),26-03-2025 01:30
10304661203,000000000022156102,0.454,Active Import Interval (kW),26-03-2025 01:00
10304661203,000000000022156102,0.498,Active Import Interval (kW),26-03-2025 00:30
10304661203,000000000022156102,0.494,Active Import Interval (kW),26-03-2025 00:00
10304661203,000000000022156102,0.588,Active Import Interval (kW),25-03-2025 23:30
10304661203,000000000022156102,0.914,Active Import Interval (kW),25-03-2025 23:00
10304661203,000000000022156102,0.810,Active Import Interval (kW),25-03-2025 22:30
10304661203,000000000022156102,1.164,Active Import Interval (kW),25-03-2025 22:00
10304661203,000000000022156102,0.800,Active Import Interval (kW),25-03-2025 21:30
10304661203,000000000022156102,0.940,Active Import Interval (kW),25-03-2025 21:00
10304661203,000000000022156102,0.756,Active Import Interval (kW),25-03-2025 20:30
10304661203,000000000022156102,1.900,Active Import Interval (kW),25-03-2025 20:00
10304661203,000000000022156102,1.636,Active Import Interval (kW),25-03-2025 19:30
10304661203,000000000022156102,2.610,Active Import Interval (kW),25-03-2025 19:00
10304661203,000000000022156102,0.452,Active Import Interval (kW),25-03-2025 18:30
10304661203,000000000022156102,0.330,Active Import Interval (kW),25-03-2025 18:00
10304661203,000000000022156102,0.922,Active Import Interval (kW),25-03-2025 17:30
10304661203,000000000022156102,2.648,Active Import Interval (kW),25-03-2025 17:00
10304661203,000000000022156102,0.596,Active Import Interval (kW),25-03-2025 16:30
10304661203,000000000022156102,0.520,Active Import Interval (kW),25-03-2025 16:00
10304661203,000000000022156102,0.570,Active Import Interval (kW),25-03-2025 15:30
10304661203,000000000022156102,0.604,Active Import Interval (kW),25-03-2025 15:00
10304661203,000000000022156102,0.832,Active Import Interval (kW),25-03-2025 14:30
10304661203,000000000022156102,3.104,Active Import Interval (kW),25-03-2025 14:00
10304661203,000000000022156102,2.680,Active Import Interval (kW),25-03-2025 13:30
10304661203,000000000022156102,4.604,Active Import Interval (kW),25-03-2025 13:00
10304661203,000000000022156102,4.006,Active Import Interval (kW),25-03-2025 12:30
10304661203,000000000022156102,3.284,Active Import Interval (kW),25-03-2025 12:00
10304661203,000000000022156102,1.080,Active Import Interval (kW),25-03-2025 11:30
10304661203,000000000022156102,4.450,Active Import Interval (kW),25-03-2025 11:00
10304661203,000000000022156102,0.550,Active Import Interval (kW),25-03-2025 10:30
10304661203,000000000022156102,0.466,Active Import Interval (kW),25-03-2025 10:00
10304661203,000000000022156102,0.650,Active Import Interval (kW),25-03-2025 09:30
10304661203,000000000022156102,1.134,Active Import Interval (kW),25-03-2025 09:00
10304661203,000000000022156102,1.428,Active Import Interval (kW),25-03-2025 08:30
10304661203,000000000022156102,4.354,Active Import Interval (kW),25-03-2025 08:00
10304661203,000000000022156102,0.292,Active Import Interval (kW),25-03-2025 07:30
10304661203,000000000022156102,0.296,Active Import Interval (kW),25-03-2025 07:00
10304661203,000000000022156102,0.278,Active Import Interval (kW),25-03-2025 06:30
10304661203,000000000022156102,0.316,Active Import Interval (kW),25-03-2025 06:00
10304661203,000000000022156102,0.298,Active Import Interval (kW),25-03-2025 05:30
10304661203,000000000022156102,1.762,Active Import Interval (kW),25-03-2025 05:00
10304661203,000000000022156102,0.460,Active Import Interval (kW),25-03-2025 04:30
10304661203,000000000022156102,0.652,Active Import Interval (kW),25-03-2025 04:00
